variant,label,positives,auroc,threshold,balanced_acc
1lead_II,ABNORMAL ECG,0,,,
1lead_II,NORMAL SINUS RHYTHM,0,,,
1lead_II,NORMAL ECG,963,0.8013,0.2,0.7172
1lead_II,SINUS RHYTHM,1674,0.8174,0.97,0.7722
1lead_II,SINUS BRADYCARDIA,64,0.9522,0.9,0.9136
1lead_II,ATRIAL FIBRILLATION,152,0.9822,0.61,0.9609
1lead_II,SINUS TACHYCARDIA,82,0.9922,0.76,0.9798
1lead_II,otherwise normal ecg,0,,,
1lead_II,LEFT AXIS DEVIATION,0,,,
1lead_II,PREMATURE VENTRICULAR COMPLEXES,114,0.9086,0.69,0.8475
1lead_II,BORDERLINE ECG,0,,,
1lead_II,RIGHT BUNDLE BRANCH BLOCK,166,0.8189,0.32,0.7564
1lead_II,SEPTAL INFARCT,234,0.7644,0.34,0.7026
1lead_II,LEFT ATRIAL ENLARGEMENT,42,0.7416,0.28,0.7012
1lead_II,NONSPECIFIC T WAVE ABNORMALITY,0,,,
1lead_II,LOW VOLTAGE QRS,322,0.6258,0.29,0.5899
1lead_II,PREMATURE ATRIAL COMPLEXES,0,,,
1lead_II,ANTERIOR INFARCT,35,0.5847,0.16,0.5956
1lead_II,INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,0,,,
1lead_II,PREMATURE SUPRAVENTRICULAR COMPLEXES,0,,,
1lead_II,LEFT BUNDLE BRANCH BLOCK,62,0.9593,0.09,0.9153
1lead_II,NONSPECIFIC T WAVE ABNORMALITY NOW EVIDENT IN,0,,,
1lead_II,NONSPECIFIC T WAVE ABNORMALITY NO LONGER EVIDENT IN,0,,,
1lead_II,T WAVE INVERSION NOW EVIDENT IN,0,,,
1lead_II,LATERAL INFARCT,100,0.7961,0.14,0.728
1lead_II,NONSPECIFIC ST ABNORMALITY,0,,,
1lead_II,LEFT VENTRICULAR HYPERTROPHY,234,0.7057,0.12,0.6562
1lead_II,T WAVE INVERSION NO LONGER EVIDENT IN,0,,,
1lead_II,WITH RAPID VENTRICULAR RESPONSE,0,,,
1lead_II,QT HAS SHORTENED,0,,,
1lead_II,QT HAS LENGTHENED,11,,,
1lead_II,FUSION COMPLEXES,0,,,
1lead_II,ATRIAL FLUTTER,7,,,
1lead_II,MARKED SINUS BRADYCARDIA,0,,,
1lead_II,WITH SINUS ARRHYTHMIA,0,,,
1lead_II,NONSPECIFIC ST AND T WAVE ABNORMALITY,0,,,
1lead_II,LEFT ANTERIOR FASCICULAR BLOCK,162,0.4132,0.01,0.5048
1lead_II,RIGHT AXIS DEVIATION,0,,,
1lead_II,ECTOPIC ATRIAL RHYTHM,0,,,
1lead_II,UNDETERMINED RHYTHM,0,,,
1lead_II,ANTEROSEPTAL INFARCT,234,0.6955,0.13,0.6484
1lead_II,RIGHTWARD AXIS,0,,,
1lead_II,ST NOW DEPRESSED IN,0,,,
1lead_II,WITH SHORT PR,0,,,
1lead_II,WITH MARKED SINUS ARRHYTHMIA,0,,,
1lead_II,ST NO LONGER DEPRESSED IN,0,,,
1lead_II,INVERTED T WAVES HAVE REPLACED NONSPECIFIC T WAVE ABNORMALITY IN,0,,,
1lead_II,NON-SPECIFIC CHANGE IN ST SEGMENT IN,0,,,
1lead_II,NONSPECIFIC T WAVE ABNORMALITY HAS REPLACED INVERTED T WAVES IN,0,,,
1lead_II,JUNCTIONAL RHYTHM,0,,,
1lead_II,ELECTRONIC ATRIAL PACEMAKER,28,0.7987,0.04,0.7194
1lead_II,ABERRANT CONDUCTION,0,,,
